City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,villa regina,-39.1,-67.0667,292.58,15,33,12.52,AR,1691701469
83,bonthe,7.5264,-12.505,298.17,85,100,5.04,SL,1691701028
84,mbekenyera,-10.0,38.9833,292.09,69,12,2.05,TZ,1691701469
85,bechar,31.6167,-2.2167,313.33,11,40,3.6,DZ,1691701470
86,bredasdorp,-34.5322,20.0403,286.45,72,0,0.83,ZA,1691700992
87,tura,25.5198,90.2201,297.04,98,100,1.92,IN,1691700975
88,luebo,-5.35,21.4167,300.88,46,68,0.2,CD,1691701470
89,avarua,-21.2078,-159.775,298.18,78,75,7.2,CK,1691700945
90,enewetak,11.3474,162.3373,301.51,78,33,5.19,MH,1691700999
91,arraial do cabo,-22.9661,-42.0278,297.13,83,0,5.66,BR,1691701000
92,karasburg,-28.0167,18.75,289.7,24,13,6.98,NA,1691701470
93,dongning,44.0622,131.1207,293.4,99,100,1.39,CN,1691701471
94,kapa'a,22.0752,-159.319,302.14,77,11,3.13,US,1691701279
95,talas,38.6908,35.5538,293.52,46,0,2.57,TR,1691701243
96,carnarvon,-24.8667,113.6333,291.24,84,23,1.17,AU,1691700951
97,punta arenas,-53.15,-70.9167,276.55,72,100,6.81,CL,1691700993
98,la gomera,14.0833,-91.05,303.98,69,75,4.65,GT,1691701471
99,bridgewater,44.3835,-64.5155,297.97,62,85,6.69,CA,1691701471
100,bardai,11.65,7.2333,295.5,89,100,1.68,NG,1691700986
101,garissa,-0.4536,39.6401,296.52,69,22,8.26,KE,1691701472
102,xiaoweizhai,26.1903,107.5125,295.17,97,3,0.84,CN,1691701472
103,bac lieu,9.285,105.7244,299.28,88,40,4.24,VN,1691701472
104,vadso,70.0744,29.7487,295.64,77,0,1.54,NO,1691700991
105,westport,41.1415,-73.3579,296.9,86,100,6.17,US,1691701472
106,afif,23.9065,42.9172,304.17,11,38,3.32,SA,1691701007
107,almaty,43.25,76.95,294.1,64,75,1.0,KZ,1691701472
108,hobyo,5.3505,48.5268,297.68,86,90,11.94,SO,1691701032
109,vilyuchinsk,52.9306,158.4028,283.3,75,65,1.13,RU,1691701009
110,ola,59.5833,151.2833,286.47,71,19,0.75,RU,1691700992
111,corona de tucson,31.9654,-110.7756,310.9,20,100,0.89,US,1691701472
112,nova xavantina,-14.6667,-52.35,306.4,23,0,2.21,BR,1691701327
113,wailua homesteads,22.0669,-159.378,301.39,75,75,6.69,US,1691700971
114,zuunmod,47.7069,106.9528,286.72,96,83,3.36,MN,1691701473
115,goleniow,53.5639,14.8285,287.74,77,0,2.06,PL,1691701473
116,ayancik,41.9447,34.5861,296.69,83,73,1.34,TR,1691701473
117,naze,28.3667,129.4833,296.66,88,100,2.2,JP,1691701473
118,tralee,52.2704,-9.7026,287.85,95,29,2.38,IE,1691700992
119,vorgashor,67.5833,63.95,278.67,94,43,3.42,RU,1691701003
120,timmins,48.4669,-81.3331,291.05,63,75,4.12,CA,1691701473
121,mont-tremblant,46.1949,-74.6264,288.92,100,100,0.51,CA,1691700902
122,kashgar,39.4547,75.9797,299.71,31,0,5.0,CN,1691701474
123,muisne,0.6,-80.0333,299.8,79,51,4.71,EC,1691701474
124,huntsville,34.7304,-86.5861,303.3,74,100,4.63,US,1691701289
125,shenjiamen,29.9576,122.298,299.69,87,91,1.77,CN,1691701474
126,newnham,-41.3833,147.1333,280.55,100,48,3.6,AU,1691701474
127,tazacorte,28.629,-17.9293,298.69,73,0,7.2,ES,1691701011
128,ribeira grande,38.5167,-28.7,297.37,69,20,4.63,PT,1691700978
129,el calafate,-50.3408,-72.2768,275.87,95,100,1.34,AR,1691701017
130,isafjordur,66.0755,-23.124,280.97,78,100,4.46,IS,1691700983
